SEASON_YEAR,POSTAL_CODE,PRODUCT_TYPE,TOTAL_SEATS,TOTAL_ACCOUNTS
2027,60712,Full Season,1189,8
2027,60137,Full Season,1189,9
2026,60423,Full Season,1189,10
2026,60007,Full Season,1173,8
2026,46307,Full Season,1163,9
2025,60134,Full Season,1161,11
2026,60564,Full Season,1152,9
2027,60056,Full Season,1148,12
2027,60007,Full Season,1148,8
2027,60302,Full Season,1148,11
2025,60305,Full Season,1145,10
2026,60657,Single Game,1142,404
2025,60302,Full Season,1122,12
2025,60423,Full Season,1120,10
2026,60451,Full Season,1117,11
2027,60634,Full Season,1107,9
2027,60134,Full Season,1107,8
2027,60453,Full Season,1107,8
2026,60614,Group,1097,150
2026,60302,Full Season,1085,11
2025,60563,Full Season,1084,11
2026,60439,Full Season,1084,9
2025,60643,Full Season,1082,8
2026,60603,Full Season,1081,7
2026,60173,Full Season,1079,8
2026,60008,Full Season,1076,5
2027,60615,Full Season,1066,8
2027,60305,Full Season,1066,9
2027,60603,Full Season,1066,7
2026,60453,Full Season,1066,8
2027,60173,Full Season,1066,8
2027,60067,Full Season,1065,9
2025,46319,Full Season,1065,3
2025,60660,Full Season,1052,10
2025,60707,Full Season,1048,10
2025,60516,Full Season,1048,11
2025,60048,Full Season,1045,7
2026,60056,Full Season,1042,11
2025,60174,Full Season,1040,8
2025,60084,Full Season,1040,7
2025,60615,Full Season,1040,9
2026,46319,Full Season,1039,3
2027,60609,Full Season,1025,8
2026,60477,Full Season,1025,11
2027,60439,Full Season,1025,9
2026,60609,Full Season,1025,8
2027,60477,Full Season,1025,11
2026,60657,Group,1024,150
2026,60661,Full Season,1018,6
2025,60451,Full Season,1008,11
2026,60638,Full Season,1007,8
2025,60439,Full Season,1006,9
2026,60517,Full Season,1003,8
2025,60106,Full Season,1000,9
2026,60660,Full Season,994,10
2026,60067,Full Season,990,10
2025,60628,Full Season,990,7
2026,60615,Full Season,984,8
2027,60008,Full Season,984,6
2025,60008,Full Season,984,6
2027,60660,Full Season,984,10
2026,60134,Full Season,984,9
2027,60616,Full Season,984,11
2027,60661,Full Season,984,6
2025,60607,Half Season,974,21
2025,60618,Half Season,971,21
2025,60655,Full Season,962,10
2025,60586,Full Season,960,7
2026,60618,Half Season,957,20
2025,60074,Full Season,944,10
2027,60639,Full Season,943,8
2026,60647,Single Game,938,320
2025,60173,Full Season,923,8
2025,60053,Full Season,920,9
2025,60016,Full Season,920,8
2025,60641,Full Season,920,10
2026,60516,Full Season,912,9
2026,60804,Full Season,907,6
2026,60618,Single Game,906,312
2026,60462,Full Season,903,5
2026,60803,Full Season,902,6
2027,60516,Full Season,902,9
2027,60014,Full Season,902,8
2027,60803,Full Season,902,6
2027,60514,Full Season,902,7
2027,60602,Full Season,902,8
2025,60203,Full Season,895,7
2026,60618,Group,883,108
2025,11598,Full Season,880,5
2025,60202,Full Season,870,8
2026,60620,Full Season,861,6
2027,60101,Full Season,861,5
2026,60014,Full Season,861,8
2027,60636,Full Season,861,6
2027,60620,Full Season,861,6
2027,60565,Full Season,861,8
2026,60622,Single Game,861,286
2025,60804,Full Season,859,6
2026,60613,Group,849,73
2025,60657,Group,844,150
2025,60026,Full Season,832,7
2025,60477,Full Season,828,9
2026,60602,Full Season,822,7
2026,46375,Full Season,821,5
2026,80221,Full Season,820,4
2027,60018,Full Season,820,7
2027,80221,Full Season,820,4
2027,60619,Full Season,820,6
2027,46375,Full Season,820,5
2027,60074,Full Season,820,8
2027,60638,Full Season,820,6
2025,60455,Full Season,817,5
2025,60661,Full Season,815,5
2025,60517,Full Season,812,7
2025,60018,Full Season,810,7
2025,60467,Full Season,810,7
2026,60018,Full Season,810,7
2025,60050,Full Season,808,6
2025,60639,Full Season,808,9
2025,60061,Full Season,807,6
2025,46375,Full Season,804,5
2025,60640,Full Season,801,7
2026,60561,Full Season,801,7
2025,60602,Full Season,800,7
2025,60620,Full Season,800,6
2025,80221,Full Season,800,4
2026,60010,Half Season,796,14
2025,60025,Half Season,796,16
2026,60053,Full Season,780,7
2027,60404,Full Season,779,7
2027,60053,Full Season,779,7
2026,60607,Half Season,777,16
2026,60616,Full Season,774,9
2026,60619,Full Season,767,5
2025,60304,Full Season,760,8
2025,60031,Full Season,760,6
2027,60010,Half Season,760,13
2027,60126,Half Season,760,15
2025,60060,Full Season,760,5
2027,60618,Half Season,760,17
2026,60514,Full Season,757,7
2026,60647,Group,752,72
2026,60074,Full Season,752,7
2026,60126,Single Game,751,220
2026,60712,Full Season,743,5
2025,60175,Full Season,740,8
2027,60647,Half Season,740,16
2026,60455,Full Season,738,4
2027,60435,Full Season,738,7
2027,60455,Full Season,738,4
2027,60048,Full Season,738,6
2027,60174,Full Season,738,6
2026,60626,Full Season,738,5
2027,60804,Full Season,738,5
2027,60626,Full Season,738,5
2026,60622,Group,737,94
2026,60202,Full Season,737,6
2025,60714,Full Season,725,5
